Grade,Short Run Emphasis (SRE),Long Run Emphasis (LRE),Gray-Level Nonuniformity (GLN),Run Length Nonuniformity (RLN),Run Percentage (RP),Low Gray-Level Run Emphasis (LGRE),High Gray-Level Run Emphasis (HGRE),Short Run Low Gray-Level Emphasis (SRLGE),Short Run High Gray-Level Emphasis (SRHGE),Long Run Low Gray-Level Emphasis (LRLGE),Long Run High Gray-Level Emphasis (LRHGE)
1,4.27E-05,31996.71376,56750.21251,514.9062253,0.924213409,0.974742335,2.7873857,4.17E-05,7.73E-05,31036.04066,128100.9756
1,4.02E-05,32452.1666,59298.2944,568.516298,0.962001801,0.976558038,1.19378322,3.93E-05,4.55E-05,31590.706,41288.793
1,4.19E-05,28416.7006,59816.7463,796.564795,0.969646454,0.977151686,1.09616108,4.09E-05,4.59E-05,27774.9427,31116.3549
1,3.94E-05,29732.4347,59571.1737,743.605011,0.968208313,0.976127631,1.10123259,3.84E-05,4.34E-05,29027.922,32713.837
1,3.96E-05,30361.1433,59067.2328,679.001892,0.96427536,0.974366385,1.1279823,3.86E-05,4.42E-05,29551.6687,34834.9917
1,3.57E-05,33200.2901,58337.224,631.590985,0.958465576,0.971795483,1.16657249,3.47E-05,4.09E-05,32218.3855,39862.3913
1,3.59E-05,31294.2201,59667.427,846.1872,0.96880722,0.976537941,1.09900205,3.50E-05,3.95E-05,30559.2425,34396.0985
1,3.37E-05,32464.5434,60028.0192,792.785392,0.970867157,0.978032199,1.09190488,3.30E-05,3.68E-05,31746.3435,35468.5711
1,3.42E-05,34881.002,59903.8128,751.35704,0.970108032,0.977520775,1.09470955,3.34E-05,3.74E-05,34079.4353,38260.8433
1,3.68E-05,31258.0266,60085.5384,806.336344,0.971115112,0.978278504,1.09132534,3.61E-05,4.01E-05,30577.1959,34118.0755
1,3.70E-05,32156.528,60128.2621,693.281646,0.971313477,0.978458711,1.09083258,3.62E-05,4.04E-05,31453.096,35126.7304
1,3.18E-05,36532.50812,48303.9645,490.7238659,0.80645752,0.964605694,15.25996298,3.09E-05,0.000293379,34979.19686,815724.0743
1,3.79E-05,29877.986,59672.9136,767.18725,0.968769073,0.976556755,1.09942832,3.70E-05,4.17E-05,29189.049,32795.9752
1,4.16E-05,28704.3783,59547.0835,804.138308,0.968082428,0.976029117,1.10163694,4.06E-05,4.60E-05,28027.9463,31567.296
1,3.77E-05,29379.32,58803.9973,860.197229,0.963905334,0.97288307,1.11583729,3.67E-05,4.21E-05,28594.8841,32725.697
1,3.98E-05,29309.7774,58923.3689,759.434882,0.964416504,0.973446267,1.11484702,3.87E-05,4.45E-05,28548.8167,32588.0378
1,3.27E-05,35483.56472,40129.53772,428.853311,0.682033539,0.957386172,44.43748279,3.15E-05,0.000827602,33671.20265,2411711.868
1,3.73E-05,31964.1679,60118.9828,585.909743,0.971229553,0.978429832,1.09120828,3.65E-05,4.06E-05,31262.3687,34937.7132
1,3.64E-05,32249.4142,59394.1196,613.910136,0.960201263,0.978012314,1.38654598,3.56E-05,4.50E-05,31516.123,51422.9509
1,4.04E-05,29642.234,59031.445,738.461726,0.963626862,0.974389853,1.14413654,3.94E-05,4.53E-05,28863.2946,34885.8645
1,3.66E-05,30624.7531,59130.6304,800.026285,0.965782166,0.974265263,1.10933354,3.57E-05,4.06E-05,29844.1355,33942.9009
1,3.74E-05,30618.5464,58458.6724,748.980978,0.961975098,0.971404939,1.1225266,3.63E-05,4.18E-05,29729.6695,34436.1869
1,3.15E-05,36971.64481,53676.06555,665.2879699,0.905353546,0.961107216,2.922830892,3.04E-05,6.80E-05,35321.43974,140197.9583
1,3.32E-05,35050.0163,57473.3023,669.635019,0.950508118,0.96925869,1.32309972,3.22E-05,4.08E-05,33899.9147,50453.2938
1,3.12E-05,35069.484,58575.5514,907.528739,0.962581635,0.971913215,1.12056135,3.03E-05,3.50E-05,34083.1236,39298.0234
1,3.12E-05,35385.7055,58979.7551,855.267035,0.96478653,0.973665442,1.11320891,3.04E-05,3.47E-05,34458.9246,39365.528
1,3.62E-05,33702.581,59113.0074,607.911025,0.959964752,0.976230619,1.37525084,3.54E-05,4.47E-05,32846.1051,52374.9923
1,3.06E-05,35479.9087,60296.4912,825.016847,0.97228241,0.97915755,1.0874337,3.00E-05,3.33E-05,34736.638,38599.4083
1,3.22E-05,35440.5228,60168.5993,695.67268,0.971500397,0.978646419,1.09034692,3.15E-05,3.51E-05,34673.4174,38698.0788
1,3.64E-05,34869.7933,59554.6806,505.387809,0.96099472,0.978585946,1.31105657,3.57E-05,4.32E-05,34009.3414,50600.3544
